# see details in the README file of the repository
day_zero	day	experiment	replicate_system	variable	value
2020-10-26	25	F0_50	a	Bs	44700000
2020-10-26	25	F0_50	b	Bs	46100000
2020-10-26	25	F3_50	a	Bs	2480000
2020-10-26	25	F3_50	b	Bs	2670000
2020-10-26	25	F3_50	a	F	118750
2020-10-26	25	F3_50	b	F	123750
2020-10-26	25	F5_50	a	Bs	1870000
2020-10-26	25	F5_50	b	Bs	1570000
2020-10-26	25	F5_50	a	F	118750
2020-10-26	25	F5_50	b	F	125000
2020-10-26	26	F0_50	a	Bs	41000000
2020-10-26	26	F0_50	b	Bs	48400000
2020-10-26	26	F3_50	a	Bs	2150000
2020-10-26	26	F3_50	b	Bs	2000000
2020-10-26	26	F3_50	a	F	108750
2020-10-26	26	F3_50	b	F	106250
2020-10-26	26	F5_50	a	Bs	1790000
2020-10-26	26	F5_50	b	Bs	2010000
2020-10-26	26	F5_50	a	F	123750
2020-10-26	26	F5_50	b	F	107500
2020-10-26	27	F0_50	a	Bs	41800000
2020-10-26	27	F0_50	b	Bs	44600000
2020-10-26	27	F3_50	a	Bs	544000
2020-10-26	27	F3_50	b	Bs	440000
2020-10-26	27	F3_50	a	F	83750
2020-10-26	27	F3_50	b	F	78750
2020-10-26	27	F5_50	a	Bs	1120000
2020-10-26	27	F5_50	b	Bs	1180000
2020-10-26	27	F5_50	a	F	90000
2020-10-26	27	F5_50	b	F	85000
2020-10-26	28	F0_50	a	Bs	38400000
2020-10-26	28	F0_50	b	Bs	42900000
2020-10-26	28	F3_50	a	Bs	1480000
2020-10-26	28	F3_50	b	Bs	1260000
2020-10-26	28	F3_50	a	F	72500
2020-10-26	28	F3_50	b	F	75000
2020-10-26	28	F5_50	a	Bs	842000
2020-10-26	28	F5_50	b	Bs	966000
2020-10-26	28	F5_50	a	F	85000
2020-10-26	28	F5_50	b	F	101250
2020-10-26	29	F0_50	a	Bs	37400000
2020-10-26	29	F0_50	b	Bs	41800000
2020-10-26	29	F3_50	a	Bs	2950000
2020-10-26	29	F3_50	b	Bs	3140000
2020-10-26	29	F3_50	a	F	73750
2020-10-26	29	F3_50	b	F	78750
2020-10-26	29	F5_50	a	Bs	2070000
2020-10-26	29	F5_50	b	Bs	5320000
2020-10-26	29	F5_50	a	F	81250
2020-10-26	29	F5_50	b	F	83750
2020-10-26	30	F0_50	a	Bs	36400000
2020-10-26	30	F0_50	b	Bs	44700000
2020-10-26	30	F3_50	a	Bs	3150000
2020-10-26	30	F3_50	b	Bs	5940000
2020-10-26	30	F3_50	a	F	72500
2020-10-26	30	F3_50	b	F	76250
2020-10-26	30	F5_50	a	Bs	3030000
2020-10-26	30	F5_50	b	Bs	4830000
2020-10-26	30	F5_50	a	F	76250
2020-10-26	30	F5_50	b	F	82500
2020-10-26	31	F0_50	a	Bs	38000000
2020-10-26	31	F0_50	b	Bs	46300000
2020-10-26	31	F3_50	a	Bs	4160000
2020-10-26	31	F3_50	b	Bs	6670000
2020-10-26	31	F3_50	a	F	76250
